ID,Metabolite,Metab ID,KEGG Pathway ID,KEGG Pathway Description,Library ID,Adducts,Formula,Retention time,KEGG Compound ID,Mode,KEGG Compound First Category,KEGG Compound Second Category,KEGG Pathway First Category,KEGG Pathway Second Category,HMDB Superclass,HMDB Class,M/Z,RSD,Fragmentation Score,Theoretical Fragmentation Score,Mass Error,CAS ID,HMDB Subclass,leaf_CT1,leaf_CT2,leaf_CT3,leaf_CT4,leaf_CH1,leaf_CH2,leaf_CH3,leaf_CH4,leaf_MT1,leaf_MT2,leaf_MT3,leaf_MT4,leaf_MH1,leaf_MH2,leaf_MH3,leaf_MH4,leaf_ST1,leaf_ST2,leaf_ST3,leaf_ST4,leaf_SH1,leaf_SH2,leaf_SH3,leaf_SH4,Root_CT1,Root_CT2,Root_CT3,Root_CT4,Root_CH1,Root_CH2,Root_CH3,Root_CH4,Root_MT1,Root_MT2,Root_MT3,Root_MT4,Root_MH1,Root_MH2,Root_MH3,Root_MH4,Root_ST1,Root_ST2,Root_ST3,Root_ST4,Root_SH1,Root_SH2,Root_SH3,Root_SH4,QC01,QC02,QC03,QC04,QC05
pos_1033,Cicerin 7-(6-malonylglucoside),metab_39,-,-,HMDB0040604,"M+H, M+Na",C26H26O15,5.0156,-,pos,-,-,-,-,Phenylpropanoids and polyketides,Isoflavonoids,579.1339651,0.071180963,0,56,-0.832820634,146367-93-3,Isoflavonoid O-glycosides,6.0811,6.1775,6.4256,6.1095,5.8963,5.956,6.0303,6.0076,5.9207,6.2007,6.0049,6.2249,6.087,5.6412,5.6588,5.4658,6.0823,5.9628,5.8871,6.0727,5.5687,5.404,5.4237,5.5026,3.1648,3.2203,3.2005,3.2394,3.1149,3.1537,3.1586,3.1025,3.1886,3.204,3.2381,3.2045,3.1726,3.1626,3.1986,3.1635,3.1767,3.1703,3.1779,3.1829,3.1142,3.1137,3.1256,3.1266,5.7426,5.756,5.7012,5.6934,5.6897
pos_1043,"6-Hydroxyluteolin 6,3'-dimethyl ether 7-glucoside",metab_50,-,-,LMPK12111202,"M+H, M+Na",C23H24O12,5.1093,-,pos,-,-,-,-,-,-,493.1336754,0.062635012,80,0,-0.766642035,-,-,4.4,5.4918,5.3817,6.2546,6.6542,6.0971,5.7277,6.566,5.433,5.6494,5.2125,5.4156,6.2459,6.1389,6.774,6.1056,5.4236,5.6341,5.0971,5.2175,6.2058,5.4199,5.8805,4.7909,3.6004,3.6559,3.6361,3.6751,3.5505,3.5893,3.5943,3.5381,3.6242,3.6397,3.6737,3.6401,4.0882,3.5982,4.3177,3.5992,3.6123,3.606,3.6135,3.6186,3.5498,3.5493,3.5612,3.5622,5.926,5.9133,5.9055,5.9,5.8524
pos_1045,Moschamindole,metab_52,-,-,HMDB0033431,"M+H, M+Na",C20H18N2O4,5.1328,-,pos,-,-,-,-,Phenylpropanoids and polyketides,2-arylbenzofuran flavonoids,351.133608,0.026556746,0,52.2,-0.929645099,99615-94-8,Not Available,3.7021,3.2211,2.5761,3.1966,2.6532,2.6408,4.1263,2.6485,2.6195,3.2388,2.6141,3.1574,2.6477,3.3378,2.5779,3.7744,3.7839,3.2928,3.3694,3.3728,2.4823,2.7089,3.4486,3.3453,2.6024,3.4745,3.6081,3.3905,2.5526,3.6323,3.541,3.839,5.6892,5.9298,5.1153,5.8358,6.0074,5.0952,5.8427,4.8689,6.1914,6.3349,6.2591,6.0287,6.2779,6.2311,6.3298,6.3255,5.2553,5.282,5.2664,5.2535,5.2619
pos_1056,"3',4',5'-Trimethoxytricetin 7-[rhamnosyl-(1->6)-glucoside]",metab_64,-,-,HMDB0035439,"M+H, M+Na",C30H36O16,5.2108,-,pos,-,-,-,-,Phenylpropanoids and polyketides,Flavonoids,653.2068121,0.056993664,0,49.6,-1.225741585,289915-88-4,Flavonoid glycosides,6.9601,6.9567,6.9269,6.5529,7.11,6.8956,6.8939,7.2572,6.5825,6.0243,6.7428,6.6624,7.2134,7.293,7.2709,7.0821,6.5845,5.7145,6.1709,6.7266,7.1072,6.2339,7.1246,6.2917,3.6697,3.7252,3.7054,3.7443,3.6198,3.8341,3.6635,3.6073,3.6934,3.7089,3.7717,3.7093,4.7389,4.4117,4.9996,3.6684,3.6815,3.6752,3.6828,3.6878,3.6191,3.6185,3.6304,3.6315,6.774,6.7295,6.7305,6.7092,6.7246
pos_1058,Myricitrin,metab_66,-,-,LMPK12112436;HMDB0034360;MJDBOTE0001125,"M+NH4, M+Na",C21H20O12,5.273,C10108,pos,-,-,-,-,Phenylpropanoids and polyketides,Flavonoids,482.1290715,0.23117971,0,61.1,-0.495840723,17912-87-7,Flavonoid glycosides,3.372,3.37,3.41,3.7041,4.984,4.8262,4.7999,4.5617,5.3335,5.6517,5.5437,5.2319,5.0947,3.438,4.7097,4.8643,5.4098,5.5142,5.4737,5.1378,3.2956,4.9637,3.3405,4.8587,3.4363,3.4918,3.472,3.5109,3.3864,3.4252,3.4301,3.3739,3.4601,3.4756,3.5096,3.476,3.4441,3.4341,3.4701,3.435,3.4482,3.4418,3.4494,3.4544,3.3857,3.3852,3.3971,3.3981,4.6565,4.6626,4.5586,4.4171,4.5046
pos_1070,Blumenol C glucoside,metab_80,-,-,HMDB0040668,"M+NH4, M+Na",C19H32O7,5.4682,-,pos,-,-,-,-,Lipids and lipid-like molecules,Fatty Acyls,395.2038715,0.134794158,0,50.1,-0.409800166,62512-23-6,Fatty acyl glycosides,3.3293,4.0511,4.5216,4.2373,5.0931,5.1852,5.2578,5.1667,4.4989,4.8661,4.664,4.5494,5.0731,4.7044,4.7259,4.8552,4.6516,4.5981,4.4572,4.6694,4.6894,4.6566,5.1376,4.7483,3.3936,3.449,3.4293,3.4682,3.3437,3.3825,3.3874,3.3312,3.4173,3.4328,3.4669,3.4332,3.4014,3.3914,3.4273,3.3923,3.4054,3.3991,3.4067,3.4117,3.343,3.3424,3.3543,3.3554,4.4012,4.5593,4.4797,4.4946,4.4517
pos_1076,Esmolol,metab_86,-,-,PW_C008734;HMDB0014333,"M+H, M+ACN+H",C16H25NO4,5.5618,C06980,pos,-,-,-,-,Benzenoids,Phenol ethers,296.1854488,0.249260295,0,45.7,-0.629863274,103598-03-4,Not Available,2.0767,2.0747,2.1143,2.0363,2.1911,2.1787,2.1864,2.1863,2.1575,2.2211,2.1521,2.1321,2.1856,2.1421,2.1161,2.0972,4.3559,3.412,4.0748,4.7137,2.001,3.5539,4.8264,3.3148,4.5414,4.5312,4.7331,4.7051,2.091,2.1295,2.1344,2.0786,4.8802,4.9743,4.9979,4.8533,4.4221,4.0405,4.6423,4.4772,4.8901,4.942,4.8754,4.8013,4.7423,4.9344,4.8195,4.8348,4.2164,4.1407,4.4182,4.33,4.3682
pos_1101,Azilsartan medoxomil,metab_115,-,-,HMDB0248803,"M+H, M+Na",C30H24N4O8,5.7493,-,pos,-,-,-,-,Benzenoids,Benzene and substituted derivatives,569.1648579,0.116885531,0,33.1,-3.224857106,-,Biphenyls and derivatives,6.0616,5.7676,5.7783,4.9686,5.4632,5.6357,5.3582,5.8402,5.4376,4.5437,5.3594,5.1899,5.2843,5.3023,5.0641,4.886,3.8249,3.8175,3.7039,4.558,4.2982,3.8733,4.2611,4.6716,3.5184,3.5739,3.5541,3.593,3.4685,3.5073,3.628,3.456,3.5422,3.5577,3.5917,3.8981,3.5262,3.5162,3.5522,3.5171,3.5303,3.5239,3.5315,3.7148,3.4678,3.4673,3.4792,3.4802,5,4.9066,5.0494,4.9942,5.0187
pos_1108,Perilloside A,metab_122,-,-,HMDB0038706,"M+H-2H2O, M+Na",C16H26O6,5.7883,-,pos,-,-,-,-,Lipids and lipid-like molecules,Prenol lipids,337.1617027,0.035048553,0,57.3,-1.453203957,-,Terpene glycosides,6.0248,6.0476,5.77,5.6492,4.2775,4.2464,4.3187,4.1376,5.7979,6.1194,5.7262,5.9066,4.5617,5.0044,4.4932,5.6493,5.8178,5.9034,6.1011,5.7557,5.8418,5.5625,6.2553,6.2674,4.9285,4.7958,4.8897,4.7981,4.7768,4.8923,4.6929,4.7354,4.9203,4.6269,4.8673,4.714,4.7068,4.7321,4.6592,4.7756,4.7869,4.9759,5.3799,4.7715,4.8598,4.697,4.6896,4.9175,5.6769,5.6955,5.6863,5.6542,5.6773
pos_1118,Dehydrophytosphingosine,metab_133,-,-,LMSP01030002;HMDB0038057,"M+H-H2O, M+H",C18H37NO3,5.8349,-,pos,-,-,-,-,Organic nitrogen compounds,Organonitrogen compounds,316.2844047,0.086945276,0,57.4,-0.684463904,3687-54-5,Amines,5.4056,4.7203,4.9411,4.6824,5.0209,5.3195,5.4425,5.1907,4.9848,5.4318,5.0885,4.9822,5.1714,5.2509,4.5787,4.7451,3.8319,4.6845,4.6476,4.1012,4.5253,4.9391,4.4722,5.2031,5.2219,5.8005,5.7867,5.9145,5.5555,5.5113,5.4184,5.2154,6.1707,6.0786,6.0923,6.1143,6.0099,5.9058,5.8683,5.8122,5.914,5.96,6.0181,5.8488,5.8735,5.7373,5.8714,5.6396,5.611,5.5561,5.5679,5.5112,5.5362
pos_1123,Dihydroactinidiolide,metab_139,-,-,HMDB0035240,"M+H-H2O, M+H",C11H16O2,5.8583,-,pos,-,-,-,-,Organoheterocyclic compounds,Benzofurans,181.1222692,0.018018462,70.9,0,-0.205533961,15356-74-8,Not Available,5.8824,5.9563,6.0313,6.0371,5.9678,5.8452,5.7568,5.8407,6.2097,6.1185,6.1373,5.9336,5.9604,5.7137,5.7915,5.9631,5.983,6.0211,6.0057,5.9472,5.8012,5.8731,5.8414,5.829,5.6155,5.5603,5.5475,5.5484,5.478,5.4351,5.4581,5.4991,5.4487,5.454,5.4969,5.463,5.2901,5.3047,5.2485,5.3419,5.4372,5.4224,5.4947,5.4142,5.2254,5.2742,5.2973,5.2184,5.7709,5.7784,5.7871,5.7875,5.7726
pos_1129,Isokobusone,metab_145,-,-,HMDB0036791,"M+H, M+NH4",C14H22O2,5.8817,C16977,pos,-,-,-,-,Organic oxygen compounds,Organooxygen compounds,240.1956723,0.066318624,0,46.1,-0.599353531,24173-72-6,Alcohols and polyols,5.3116,5.1285,5.1849,5.0912,5.0997,5.1671,5.1153,5.094,5.2548,5.1797,5.2342,5.1213,5.1186,5.026,4.9897,5.1107,5.0503,5.0311,5.1753,5.118,5.0348,5.0221,5.0364,4.987,5.4845,5.4717,5.4202,5.4463,5.4941,5.423,5.3503,5.4382,5.4059,5.3257,5.407,5.2972,5.1289,5.2037,5.1315,5.1006,5.3098,5.3164,5.3973,5.328,5.1156,5.0994,5.0387,5.1155,5.2123,5.1592,5.1926,5.1735,5.2306
pos_1131,13(S)-HpOTrE,metab_148,map01100;map00592;map01110,Metabolic pathways;alpha-Linolenic acid metabolism;Biosynthesis of secondary metabolites,HMDB0301803,"M+H-H2O, M+H",C18H30O4,5.8895,C04785,pos,-,-,Metabolism;Metabolism;Metabolism,Global and overview maps;Lipid metabolism;Global and overview maps,Lipids and lipid-like molecules,Fatty Acyls,293.2108122,0.030723526,84,0,-0.996204558,67597-26-6,Lineolic acids and derivatives,6.8791,6.7207,6.6682,7.026,6.2875,6.4054,6.2929,6.2853,6.6074,6.8523,6.462,6.5971,6.4133,6.5511,6.561,6.8779,6.7561,6.6266,6.6232,6.6428,6.6806,6.5392,6.8656,6.7584,7.0677,7.1494,7.2016,7.1801,6.7323,6.7814,6.7609,6.7828,7.0721,7.0614,7.1148,7.0482,6.8743,6.8434,6.8973,6.8673,7.0262,7.0508,7.1295,7.1016,6.8742,6.9172,6.8372,6.8193,6.7981,6.814,6.8214,6.797,6.7892
pos_1134,12S-HHT,metab_151,-,-,HMDB0012535,"M+H, M+CH3OH+H",C17H28O3,5.8972,C20388,pos,-,-,-,-,Lipids and lipid-like molecules,Fatty Acyls,313.237083,0.024194973,0,53.3,-0.902847554,54397-84-1,Fatty acids and conjugates,5.5465,5.2248,5.274,5.3538,4.9662,5.0264,4.9419,4.8903,5.1885,5.1292,5.0819,4.8117,5.0382,5.0962,4.8649,5.0721,5.0916,5.0842,5.0509,5.1348,5.0728,4.9227,5.1226,4.957,6.2992,6.4437,6.4582,6.5032,6.0133,6.0496,5.9626,6.0148,6.2711,6.3012,6.3237,6.3365,5.9135,5.9463,6.0188,5.9169,6.368,6.3422,6.4572,6.3378,6.1784,6.1659,6.0772,6.0476,5.8054,5.8314,5.8257,5.8155,5.8121
pos_1138,Jubanine B,metab_155,-,-,HMDB0030206,"M+NH4, M+Na",C43H47N5O6,5.9204,-,pos,-,-,-,-,Organic acids and derivatives,Carboxylic acids and derivatives,752.3423387,0.05274679,0,66.4,0.663265578,60375-08-8,"Amino acids, peptides, and analogues",3.7643,4.5108,4.3051,5.0506,3.8795,4.0392,3.8748,3.8747,4.2213,5.2755,3.8403,4.6746,4.3309,4.0511,4.759,5.2038,4.4443,3.8194,4.3971,4.0459,5.0004,4.1697,4.6286,4.7702,6.7249,6.7261,7.0545,6.8709,6.6931,6.8972,6.9413,6.8105,6.9229,6.9303,6.8678,7.0222,7.1969,7.2556,7.1803,7.278,6.8158,6.9073,6.8482,6.8972,7.0662,6.9126,7.0036,6.8676,6.5528,6.5382,6.5023,6.5185,6.5006
pos_1140,N-Acetyldehydroanonaine,metab_158,-,-,HMDB0041537,"M+H, M+CH3OH+H",C19H15NO3,5.9281,-,pos,-,-,-,-,Alkaloids and derivatives,Aporphines,338.1383196,0.017094144,0,57.1,-1.195920612,132646-11-8,Not Available,5.5362,4.8097,4.6766,4.1691,3.5961,3.5837,3.5914,3.637,3.5623,3.6264,3.557,3.5367,3.5906,5.3133,3.9829,3.5016,3.5077,3.5361,3.5453,3.4747,3.4045,3.4876,3.4494,3.4981,7.866,7.859,8.2863,8.0719,7.8122,8.0803,8.087,7.9692,8.1348,8.1141,8.0502,8.2188,8.6371,8.6059,8.5421,8.6283,7.9935,7.9997,7.9786,8.0732,8.3101,8.1322,8.2283,8.0676,7.7227,7.7304,7.7303,7.713,7.7193
pos_1147,"(8R,9R,10S,13R,14S)-1,2,3,4,5,6,7,8,9,10,11,12,14,15,16,17-Hexadecahydrocyclopenta[a]phenanthrene-13-carbaldehyde",metab_165,-,-,HMDB0260168,"M+H-H2O, M+H",C18H28O,5.975,-,pos,-,-,-,-,Lipids and lipid-like molecules,Steroids and steroid derivatives,261.2211185,0.052622034,0,43.1,-0.666403978,-,Oxosteroids,5.8046,5.793,5.8396,5.58,6.2926,6.1949,6.2624,6.1714,6.0185,5.945,6.1369,5.6528,6.0709,6.0823,6.1688,6.0522,5.8733,6.1563,6.1187,5.867,6.1037,6.2341,5.7716,6.1522,5.8741,5.9401,5.9233,5.9042,5.7822,5.8375,5.7454,5.8319,5.9515,5.9891,5.9906,5.9127,5.7974,5.6888,5.8912,5.754,5.9399,5.943,6.0495,5.9469,5.8399,5.8216,5.8419,5.7789,6.0508,6.1051,6.1019,6.1021,6.0775
pos_1153,"6,10,14-Trimethyl-5,9,13-pentadecatrien-2-one",metab_172,-,-,HMDB0034495,"M+H-H2O, M+H",C18H30O,6.0219,-,pos,-,-,-,-,Lipids and lipid-like molecules,Prenol lipids,263.2366947,0.06397997,0,39.5,-0.943085253,762-29-8,Diterpenoids,5.7007,5.179,5.2747,5.0828,5.3658,5.4041,5.4915,5.3917,5.3473,5.0675,5.2691,4.71,5.3502,5.1973,5.1696,5.2683,5.0481,5.1463,5.1578,5.0181,5.3765,5.2534,4.9311,5.276,5.4819,5.6482,5.615,5.59,5.6872,5.6962,5.7832,5.6434,5.5263,5.6846,5.7631,5.6024,5.6106,5.6441,5.7006,5.5364,5.5702,5.5741,5.6356,5.6539,5.5155,5.4468,5.5239,5.4982,5.3487,5.4243,5.4043,5.4094,5.3994
pos_1154,Sterol,metab_173,-,-,HMDB0060512,"M+H-H2O, M+H",C17H28O,6.0219,C00370,pos,-,-,-,-,Lipids and lipid-like molecules,Steroids and steroid derivatives,249.2211841,0.165097599,0,39.6,-0.434465526,-,Hydroxysteroids,4.1614,3.1581,3.1981,4.202,3.2753,3.2629,3.2706,3.2706,3.2415,3.3056,3.2362,3.2159,3.2698,3.2261,3.1998,3.1808,3.1869,3.2153,3.2245,3.1623,3.0838,3.1668,3.1287,3.1774,5.2992,5.4273,5.4857,5.3427,4.8307,4.9108,4.8459,4.9435,5.0416,4.9988,5.2372,5.0325,4.7431,4.4133,4.7266,4.5776,4.9288,5.0519,5.1582,5.1698,4.7824,4.9451,4.7737,4.7113,4.4492,4.4313,4.6062,4.5057,4.4991
pos_1155,Dmap-ethyl-paf,metab_174,-,-,HMDB0251534,"M+NH4, M+Na",C30H57N2O6P,6.0297,-,pos,-,-,-,-,Organoheterocyclic compounds,Pyridines and derivatives,590.4256993,0.075951012,0,39.1,-6.20267676,-,Aminopyridines and derivatives,6.2006,6.2084,6.1947,6.0744,6.1092,6.104,6.1568,6.0845,6.2453,6.1939,6.2447,6.0259,6.1294,6.1017,6.0113,6.1174,6.0323,6.1142,6.1492,6.0567,6.062,5.9985,6.0329,6.1035,6.4372,6.4572,6.4042,6.3423,6.5831,6.3987,6.4793,6.4322,6.3178,6.3555,6.3602,6.3158,6.3569,6.2305,6.2723,6.3463,6.2937,6.2099,6.2592,6.3052,6.1576,6.1587,6.1789,6.1735,6.1698,6.2125,6.2008,6.1612,6.1289
pos_1160,3-ketosphingosine,metab_180,-,-,LMSP01010002;HMDB0245914,"M+H, M+Na",C18H35NO2,6.0609,C06121,pos,-,-,-,-,Organic oxygen compounds,Organooxygen compounds,298.2737688,0.061878193,55.7,0,-0.96534278,-,Carbonyl compounds,5.8359,5.6,5.7885,5.5343,5.5398,5.5991,5.6012,5.4755,5.7945,5.5567,5.6668,5.1722,5.5301,5.4702,5.4372,5.6436,5.454,5.5166,5.4701,5.4861,5.4861,5.3223,5.2353,5.5489,6.1773,5.9935,5.8879,6.0603,5.9865,5.9482,5.8932,6.1705,5.9895,5.8984,6.0076,6.0135,5.7897,6.1212,5.6114,5.701,5.7602,5.8032,5.8797,5.7371,5.8591,5.6654,5.691,5.6683,5.6527,5.7125,5.7038,5.6832,5.6569
